top_n_words	label	title	abstract	topic_word	topic_bigram	topic_trigram
view avoid static kernel multiple source dynamic framework classification research avenue collected conjunction disguising extended facet hope incorporate integrate intent 	0	Improving malware classification: Bridging the static/dynamic gap	Malware classification systems have typically used some machine learning algorithm in conjunction with either static or dynamic features collected from the binary. Recently, more advanced malware has introduced mechanisms to avoid detection in these views by using obfuscation techniques to avoid static detection and execution-stalling techniques to avoid dynamic detection. In this paper we construct a classification framework that is able to incorporate both static and dynamic views into a unified framework in the hopes that, while a malicious executable can disguise itself in some views, disguising itself in every view while maintaining malicious intent will prove to be substantially more difficult. Our method uses kernels to place a similarity metric on each distinct view and then employs multiple kernel learning to find a weighted combination of the data sources which yields the best classification accuracy in a support vector machine classifier. Our approach opens up new avenues of malware research which will allow the research community to elegantly look at multiple facets of malware simultaneously, and which can easily be extended to integrate any new data sources that may become popular in the future.	['malware', 'code', 'network']	['hardware_breakpoints', 'hide_code', 'based_subset', 'dbi_frameworks', 'filter_based']	['based_subset_evaluators', 'extracts_hidden_code', 'feature_extraction_selection', 'feature_selection_techniques', 'filter_based_subset']
dbi valgrind dba framework build heavyweight shadow value tool focus difficult little built checker comparatively crucial describes dynamorio exploited impossible 	0	Valgrind: A framework for heavyweight dynamic binary instrumentation	Dynamic binary instrumentation (DBI) frameworks make it easy to build dynamic binary analysis (DBA) tools such as checkers and profilers. Much of the focus on DBI frameworks has been on performance; little attention has been paid to their capabilities. As a result, we believe the potential of DBI has not been fully exploited. In this paper we describe Valgrind, a DBI framework designed for building heavyweight DBA tools. We focus on its unique support for shadow values—a powerful but previously little-studied and difficult-to-implement DBA technique, which requires a tool to shadow every register and memory value with another value that describes it. This support accounts for several crucial design features that distinguish Valgrind from other DBI frameworks. Because of these features, lightweight tools built with Valgrind run comparatively slowly, but Valgrind can be used to build more interesting, heavyweight tools that are difficult or impossible to build with other DBI frameworks such as Pin and DynamoRIO.	['malware', 'code', 'network']	['hardware_breakpoints', 'hide_code', 'based_subset', 'dbi_frameworks', 'filter_based']	['based_subset_evaluators', 'extracts_hidden_code', 'feature_extraction_selection', 'feature_selection_techniques', 'filter_based_subset']
code renovo hidden run memory execution engineering reverse time determines handle hinder intrinsic monitor newly original packing prevalent researched term 	0	Renovo: A hidden code extractor for packed executables	As reverse engineering becomes a prevalent technique to analyze malware, malware writers leverage various anti-reverse engineering techniques to hide their code. One technique commonly used is code packing as packed executables hinder code analysis. While this problem has been previously researched, the existing solutions are either unable to handle novel samples, or vulnerable to various evasion techniques. In this paper, we propose a fully dynamic approach that captures an intrinsic nature of hidden code execution that the original code should be present in memory and executed at some point at run-time. Thus, this approach monitors program execution and memory writes at run-time, determines if the code under execution is newly generated, and then extracts the hidden code of the executable. To demonstrate its effectiveness, we implement a system, Renovo, and evaluate it with a large number of real-world malware samples. The experiments show that Renovo is accurate compared to previous work, yet practical in terms of performance.	['malware', 'code', 'network']	['hardware_breakpoints', 'hide_code', 'based_subset', 'dbi_frameworks', 'filter_based']	['based_subset_evaluators', 'extracts_hidden_code', 'feature_extraction_selection', 'feature_selection_techniques', 'filter_based_subset']
recognition pattern selection neural extraction statistical field attention research design 50 among careful challenging cursive definition estimation exciting following forefront 	0	Statistical pattern recognition: A review	ÐThe primary goal of pattern recognition is supervised or unsupervised classification. Among the various frameworks in which pattern recognition has been traditionally formulated, the statistical approach has been most intensively studied and used in practice. More recently, neural network techniques and methods imported from statistical learning theory have been receiving increasing attention. The design of a recognition system requires careful attention to the following issues: definition of pattern classes, sensing environment, pattern representation, feature extraction and selection, cluster analysis, classifier design and learning, selection of training and test samples, and performance evaluation. In spite of almost 50 years of research and development in this field, the general problem of recognizing complex patterns with arbitrary orientation, location, and scale remains unsolved. New and emerging applications, such as data mining, web searching, retrieval of multimedia data, face recognition, and cursive handwriting recognition, require robust and efficient pattern recognition techniques. The objective of this review paper is to summarize and compare some of the well-known methods used in various stages of a pattern recognition system and identify research topics and applications which are at the forefront of this exciting and challenging field. Index TermsÐStatistical pattern recognition, classification, clustering, feature extraction, feature selection, error estimation, classifier combination, neural networks.	['malware', 'code', 'network']	['hardware_breakpoints', 'hide_code', 'based_subset', 'dbi_frameworks', 'filter_based']	['based_subset_evaluators', 'extracts_hidden_code', 'feature_extraction_selection', 'feature_selection_techniques', 'filter_based_subset']
hidden code want identifying extracting runtime malware body checked compiletime define deriving detail executing formally instance modern observation obstacle portion 	0	PolyUnpack: Automating the hidden-code extraction of unpack-executing malware	Modern malware often hide the malicious portion of their program code by making it appear as data at compiletime and transforming it back into executable code at runtime. This obfuscation technique poses obstacles to researchers who want to understand the malicious behavior of new or unknown malware and to practitioners who want to create models of detection and methods of recovery. In this paper we propose a technique for automating the process of extracting the hidden-code bodies of this class of malware. Our approach is based on the observation that sequences of packed or hidden code in a malware instance can be made self-identifying when its runtime execution is checked against its static code model. In deriving our technique, we formally define the unpack-executing behavior that such malware exhibits and devise an algorithm for identifying and extracting its hidden-code. We also provide details of the implementation and evaluation of our extraction technique; the results from our experiments on several thousand malware binaries show our approach can be used to significantly reduce the time required to analyze such malware, and to improve the performance of malware detection tools.	['malware', 'code', 'network']	['hardware_breakpoints', 'hide_code', 'based_subset', 'dbi_frameworks', 'filter_based']	['based_subset_evaluators', 'extracts_hidden_code', 'feature_extraction_selection', 'feature_selection_techniques', 'filter_based_subset']
rate achieves deep neural low model positive network false traditional 400 95 adjusting better classifier’s coming commodity customer database datasizes 	0	Deep neural network based malware detection using two dimensional binary program features	In this paper we introduce a deep neural network based malware detection system that Invincea has developed, which achieves a usable detection rate at an extremely low false positive rate and scales to real world training example volumes on commodity hardware. We show that our system achieves a 95% detection rate at 0.1% false positive rate (FPR), based on more than 400,000 software binaries sourced directly from our customers and internal malware databases. In addition, we describe a non-parametric method for adjusting the classifier’s scores to better represent expected precision in the deployment environment. Our results demonstrate that it is now feasible to quickly train and deploy a low resource, highly accurate machine learning classification model, with false positive rates that approach traditional labor intensive expert rule based malware detection, while also detecting previously unseen malware missed by these traditional approaches. Since machine learning models tend to improve with larger datasizes, we foresee deep neural network classification models gaining in importance as part of a layered network defense strategy in coming years.	['malware', 'code', 'network']	['hardware_breakpoints', 'hide_code', 'based_subset', 'dbi_frameworks', 'filter_based']	['based_subset_evaluators', 'extracts_hidden_code', 'feature_extraction_selection', 'feature_selection_techniques', 'filter_based_subset']
constant opaque static detector evaded transformation scanner value code obfuscation primitive register malware proposed identify clear demonstrates determine explore global 	0	Limits of static analysis for malware detection	Malicious code is an increasingly important problem that threatens the security of computer systems. The traditional line of defense against malware is composed of malware detectors such as virus and spyware scanners. Unfortunately, both researchers and malware authors have demonstrated that these scanners, which use pattern matching to identify malware, can be easily evaded by simple code transformations. To address this shortcoming, more powerful malware detectors have been proposed. These tools rely on semantic signatures and employ static analysis techniques such as model checking and theorem proving to perform detection. While it has been shown that these systems are highly effective in identifying current malware, it is less clear how successful they would be against adversaries that take into account the novel detection mechanisms. The goal of this paper is to explore the limits of static analysis for the detection of malicious code. To this end, we present a binary obfuscation scheme that relies on the idea of opaque constants, which are primitives that allow us to load a constant into a register such that an analysis tool cannot determine its value. Based on opaque constants, we build obfuscation transformations that obscure program control flow, disguise access to local and global variables, and interrupt tracking of values held in processor registers. Using our proposed obfuscation approach, we were able to show that advanced semantics-based malware detectors can be evaded. Moreover, our opaque constant primitive can be applied in a way such that is provably hard to analyze for any static code analyzer. This demonstrates that static analysis techniques alone might no longer be sufficient to identify malware.	['malware', 'code', 'network']	['hardware_breakpoints', 'hide_code', 'based_subset', 'dbi_frameworks', 'filter_based']	['based_subset_evaluators', 'extracts_hidden_code', 'feature_extraction_selection', 'feature_selection_techniques', 'filter_based_subset']
transparent analyzer ether guest evade malware hardware runtime obfuscation 25 arise battle centerpiece cleanup component detectable emulate emulation extension external 	0	Ether: Malware analysis via hardware virtualization extensions	Malware has become the centerpiece of most security threats on the Internet. Malware analysis is an essential technology that extracts the runtime behavior of malware, and supplies signatures to detection systems and provides evidence for recovery and cleanup. The focal point in the malware analysis battle is how to detect versus how to hide a malware analyzer from malware during runtime. State-of-the-art analyzers reside in or emulate part of the guest operating system and its underlying hardware, making them easy to detect and evade. In this paper, we propose a transparent and external approach to malware analysis, which is motivated by the intuition that for a malware analyzer to be transparent, it must not induce any side-effects that are unconditionally detectable by malware. Our analyzer, Ether, is based on a novel application of hardware virtualization extensions such as Intel VT, and resides completely outside of the target OS environment. Thus, there are no in-guest software components vulnerable to detection, and there are no shortcomings that arise from incomplete or inaccurate system emulation. Our experiments are based on our study of obfuscation techniques used to create 25,000 recent malware samples. The results show that Ether remains transparent and defeats the obfuscation tools that evade existing approaches.	['malware', 'code', 'network']	['hardware_breakpoints', 'hide_code', 'based_subset', 'dbi_frameworks', 'filter_based']	['based_subset_evaluators', 'extracts_hidden_code', 'feature_extraction_selection', 'feature_selection_techniques', 'filter_based_subset']
breakpoints hardware breakpoint vampire debugger unlimited mechanism processor stealth code number limited ability countered microscopic modification providing runtime powerful make 	0	Stealth breakpoints	Microscopic analysis of malicious code (malware) requires the aid of a variety of powerful tools. Chief among them is a debugger that enables runtime binary analysis at an instruction level. One of the important services provided by a debugger is the ability to stop execution of code at an arbitrary point during runtime, using breakpoints. Software breakpoints support an unlimited number of breakpoint locations by changing the code being debugged so that it can be interrupted during runtime. Most, if not all, malware are very sensitive to code modification with self-modifying and/or self-checking (SM-SC) capabilities, rendering the use of software breakpoints limited in their scope. Hardware breakpoints supported by the underlying processor, on the other hand, use a subset of the processor register set and exception mechanisms to provide breakpoints that do not entail code modification. This makes hardware breakpoints the most powerful breakpoint mechanism for malware analysis. However, current processors provide a very limited number of hardware breakpoints (typically 2–4 locations). Thus, a serious restriction is imposed on the debugger to set a desired number of breakpoints without resorting to the limited alternative of software breakpoints. Also, with the ever evolving nature of malware, there are techniques being employed that prevent the use of hardware breakpoints. This calls for a new breakpoint mechanism that retains the features of hardware breakpoints while providing an unlimited number of breakpoints, which cannot be detected or countered. In this paper, we present the concept of stealth breakpoints and discuss the design and implementation of VAMPiRE 1, a realization of this concept. VAMPiRE cannot be detected or countered and provides unlimited number of breakpoints to be set on code, data, and I/O with the same precision as that of hardware breakpoints. It does so by employing a subtle combination of simple stealth techniques using virtual memory and hardware single-stepping mechanisms that are available on all processors, old and new. This technique makes VAMPiRE portable to any architecture, providing powerful breakpoint ability similar to hardware breakpoints for microscopic malware analysis. 1 VAMPiRE is a beast (in folklore) that attacks in a stealth fashion.	['malware', 'code', 'network']	['hardware_breakpoints', 'hide_code', 'based_subset', 'dbi_frameworks', 'filter_based']	['based_subset_evaluators', 'extracts_hidden_code', 'feature_extraction_selection', 'feature_selection_techniques', 'filter_based_subset']
automated avoid tool combat correctly initiate report functionality example quickly use worm malware analyst design acknowledge appearance appears aren’t arguably 	0	Toward automated dynamic malware analysis using cwsandbox	Malware is notoriously difficult to combat because it appears and spreads so quickly. Most security products such as virus scanners look for signatures—characteristic byte sequences—to identify malicious code. Malware, however, has adapted to that approach. Polyor metamorphic worms avoid detection by changing their appearance, for example, whereas flash worms stealthily perform reconnaissance without infecting vulnerable machines, waiting to pursue strategic spreading plans that can infect thousands of machines within seconds. In the face of such automated threats, security researchers can’t combat malicious software using manual methods of disassembly or reverse engineering. Therefore, analysis tools must analyze malware automatically, effectively, and correctly. Automating this process means that the analysis tool should create detailed reports of malware samples quickly and without user intervention. Analysts could then use the machinereadable reports to initiate automated responses—automatically updating an intrusion detection system’s signatures, for example, and protecting networks from new malware on the fly. An effective analysis tool must log the malware’s relevant behaviors—the tool shouldn’t overlook any of the executed functionality because analysts will use the information to realistically assess the threat. Finally, the tool should correctly analyze the malware—the sample should initiate every logged action to avoid false positives. In this article, we describe the design and implementation of CWSandbox, a malware analysis tool that fulfills our three design criteria of automation, effectiveness, and correctness for the Win32 family of operating systems. We show how to use API hooking and dynamic linked library (DLL) injection techniques to implement the necessary rootkit functionality to avoid detection by the malware. We acknowledge that these techniques aren’t new; however, we’ve assembled the techniques in a unique combination that provides a fully functional, elegantly simple, and arguably powerful automated malware analysis tool.	['malware', 'code', 'network']	['hardware_breakpoints', 'hide_code', 'based_subset', 'dbi_frameworks', 'filter_based']	['based_subset_evaluators', 'extracts_hidden_code', 'feature_extraction_selection', 'feature_selection_techniques', 'filter_based_subset']
