top_n_words	label	title	abstract	topic_word	topic_bigram	topic_trigram
core heterogeneity hardware changing computation multicore reliability management processor allowing architect argue arise assigning chip complicates configuration constantly content continues 	0	Dynamic heterogeneity and the need for multicore virtualization	As the computing industry enters the multicore era, exponential growth in the number of transistors on a chip continues to present challenges and opportunities for computer architects and system designers. We examine one emerging issue in particular: that of dynamic heterogeneity, which can arise, even among physically homogeneous cores, from changing reliability, power, or thermal conditions, different cache and TLB contents, or changing resource configurations. This heterogeneity results in a constantly varying pool of hardware resources, which greatly complicates software’s traditional task of assigning computation to cores. In part to address dynamic heterogeneity, we argue that hardware should take a more active role in the management of its computation resources. We propose hardware techniques to virtualize the cores of a multicore processor, allowing hardware to flexibly reassign the virtual processors that are exposed, even to a single operating system, to any subset of the physical cores. We show that multicore virtualization operates with minimal overhead, and that it enables several novel resource management applications for improving both performance and reliability.	['cloud', 'discus', 'vm']	['v_man', 'ict_industry', 'level_virtualization', 'algorithm_jointly', 'algorithm_vmp']	['cloud_computing_we', 'definition_cloud_computing', 'technology_ict_industry', '00or22725_techniques_address', '2006_currently_talked']
isolate laboratory solution hpc virtualization level implementation research support system operating technique environment 00or22725 70’s ac05 appear battelle brief by 	0	System-level virtualization for high performance computing	System-level virtualization has been a research topic since the 70’s but regained popularity during the past few years because of the availability of efficient solution such as Xen and the implementation of hardware support in commodity processors (e.g. Intel-VT, AMD-V). However, a majority of system-level virtualization projects is guided by the server consolidation market. As a result, current virtualization solutions appear to not be suitable for high performance computing (HPC) which is typically based on large-scale systems. On another hand there is significant interest in exploiting virtual machines (VMs) within HPC for a number of other reasons. By virtualizing the machine, one is able to run a variety of operating systems and environments as needed by the applications. Virtualization allows users to isolate workloads, improving security and reliability. It is also possible to support nonnative environments and/or legacy operating environments through virtualization. In addition, it is possible to balance work loads, use migration techniques to relocate applications from failing machines, and isolate fault systems for repair. This document presents the challenges for the implementation of a system-level virtualization solution for HPC. It also presents a brief survey of the different approaches and ∗ORNL’s research sponsored by the Laboratory Directed Research and Development Program of Oak Ridge National Laboratory (ORNL), managed by UT-Battelle, LLC for the U. S. Department of Energy under Contract No. DE-AC05-00OR22725. techniques to address these challenges.	['cloud', 'discus', 'vm']	['v_man', 'ict_industry', 'level_virtualization', 'algorithm_jointly', 'algorithm_vmp']	['cloud_computing_we', 'definition_cloud_computing', 'technology_ict_industry', '00or22725_techniques_address', '2006_currently_talked']
believe deserves highlight identify interoperability last many oriented pinpoint reshape revolution cloud issue substantial adoption discus entire perspective related relationship 	0	Cloud computing: Issues and challenges	Many believe that Cloud will reshape the entire ICT industry as a revolution. In this paper, we aim to pinpoint the challenges and issues of Cloud computing. We first discuss two related computing paradigms Service-Oriented Computing and Grid computing, and their relationships with Cloud computing We then identify several challenges from the Cloud computing adoption perspective. Last, we will highlight the Cloud interoperability issue that deserves substantial further research	['cloud', 'discus', 'vm']	['v_man', 'ict_industry', 'level_virtualization', 'algorithm_jointly', 'algorithm_vmp']	['cloud_computing_we', 'definition_cloud_computing', 'technology_ict_industry', '00or22725_techniques_address', '2006_currently_talked']
technology controversy definition software cloud discus potential ict hardware 2006 achievement bring business contribution currently discussion disruptive dream economic gaining 	0	The current state of understanding of the energy efficiency of cloud computing	Cloud computing has been hailed as the achievement of the longheld dream of computing as a utility and has the potential to transform a large part of the Information and Communication Technology (ICT) industry. Cloud computing is both a business and an economic model which has been gaining popularity since 2006 and it is currently the most talked about technology in the ICT industry. Because it views hardware and software as commodities, the cloud is an example of a disruptive technology. It offers enterprises the opportunity to reduce hardware and software cost and the potential reduction of maintenance and support staff. Data centers and cloud computing services providers hope that the widespread adoption of the cloud will bring them more profit and they are actively promoting the technology. The cloud has had its share of controversy; ranging from the definition of cloud computing to its energy efficiency. This paper discusses one area of controversy; the energy efficiency of cloud computing. We outline previous contributions to the discussion of energy efficiency of cloud computing, provide a working definition of cloud computing and discuss its importance, which will grow as the technology matures and becomes well known.	['cloud', 'discus', 'vm']	['v_man', 'ict_industry', 'level_virtualization', 'algorithm_jointly', 'algorithm_vmp']	['cloud_computing_we', 'definition_cloud_computing', 'technology_ict_industry', '00or22725_techniques_address', '2006_currently_talked']
man v allocation datacenters protocol conservation vm vms modern operate node technique cloud significant account achieving added allocate allow arbitrary 	0	Server consolidation in clouds through gossiping	The success of Cloud computing, where computing power is treated as a utility, has resulted in the creation of many large datacenters that are very expensive to build and operate. In particular, the energy bill accounts for a significant fraction of the total operation costs. For this reason a significant attention is being devoted to energy conservation techniques, for example by taking advantage of the built-in power saving features of modern hardware. Cloud computing offers novel opportunities for achieving energy savings: Cloud systems rely on virtualization techniques to allocate computing resources on demand, and modern Virtual Machine (VM) monitors allow live migration of running VMs. Thus, energy conservation can be achieved through server consolidation, moving VM instances away from lightly loaded computing nodes so that they become empty and can be switched to low-power mode. In this paper we present V-MAN, a fully decentralized algorithm for consolidating VMs in large Cloud datacenters. V-MAN can operate on any arbitrary initial allocation of VMs on the Cloud, iteratively producing new allocations that quickly converge towards the one maximizing the number of idle hosts. V-MAN uses a simple gossip protocol to achieve efficiency, scalability and robustness to failures. Simulation experiments indicate that, starting from a random allocation, V-MAN produces an almost-optimal VM placement in just a few rounds; the protocol is intrinsically robust and can cope with computing nodes being added to or removed from the Cloud.	['cloud', 'discus', 'vm']	['v_man', 'ict_industry', 'level_virtualization', 'algorithm_jointly', 'algorithm_vmp']	['cloud_computing_we', 'definition_cloud_computing', 'technology_ict_industry', '00or22725_techniques_address', '2006_currently_talked']
backup vlm vmp algorithm vms bandwidth framework mapping solves subproblem svi failure vm problem present affected baseline collected comparable correlated 	0	Survivable virtual infrastructure mapping in virtualized data centers	In a virtualized data center, survivability can be enhanced by creating redundant Virtual Machines (VMs) as backup for VMs such that after VM or server failures, affected services can be quickly switched over to backup VMs. To enable flexible and efficient resource management, we propose to use a service-aware approach in which multiple correlated VMs and their backups are grouped together to form a Survivable Virtual Infrastructure (SVI) for a service or a tenant. A fundamental problem in such a system is to determine how to map each SVI to a physical data center network such that operational costs are minimized subject to the constraints that each VM’s resource requirements are met and bandwidth demands between VMs can be guaranteed before and after failures. This problem can be naturally divided into two sub-problems: VM Placement (VMP) and Virtual Link Mapping (VLM). We present a general optimization framework for this mapping problem. Then we present an efficient algorithm for the VMP subproblem as well as a polynomial-time algorithm that optimally solves the VLM subproblem, which can be used as subroutines in the framework. We also present an effective heuristic algorithm that jointly solves the two subproblems. It has been shown by extensive simulation results based on the real VM data traces collected from the green data center at Syracuse University that compared with the First Fit Descending (FFD) and single shortest path based baseline algorithm, both our VMP+VLM algorithm and joint algorithm significantly reduce the reserved bandwidth, and yield comparable results in terms of the number of active servers.	['cloud', 'discus', 'vm']	['v_man', 'ict_industry', 'level_virtualization', 'algorithm_jointly', 'algorithm_vmp']	['cloud_computing_we', 'definition_cloud_computing', 'technology_ict_industry', '00or22725_techniques_address', '2006_currently_talked']
loading cooling response time proposal surgeguard power active 30 absorb fine granularity incur maximum powertrade scheme standby idle previous server 	1	Joint optimization of idle and cooling power in data centers while maintaining response time	Server power and cooling power amount to a significant fraction of modern data centers’ recurring costs. While data centers provision enough servers to guarantee response times under the maximum loading, data centers operate under much less loading most of the times (e.g., 30-70% of the maximum loading). Previous serverpower proposals exploit this under-utilization to reduce the server idle power by keeping active only as many servers as necessary and putting the rest into low-power standby modes. However, these proposals incur higher cooling power due to hot spots created by concentrating the data center loading on fewer active servers, or degrade response times due to standby-to-active transition delays, or both. Other proposals optimize the cooling power but incur considerable idle power. To address the first issue of power, we propose PowerTrade, which trades-off idle power and cooling power for each other, thereby reducing the total power. To address the second issue of response time, we propose SurgeGuard to overprovision the number of active servers beyond that needed by the current loading so as to absorb future increases in the loading. SurgeGuard is a two-tier scheme which uses well-known over-provisioning at coarse time granularities (e.g., one hour) to absorb the common, smooth increases in the loading, and a novel fine-grain replenishment of the over-provisioned reserves at fine time granularities (e.g., five minutes) to handle the uncommon, abrupt loading surges. Using real-world traces, we show that combining PowerTrade and SurgeGuard reduces total power by 30% compared to previous low-power schemes while maintaining response times within 1.7%.	['center', 'processor', 'data']	['multi_core', 'cooling_power', 'core_cluster', 'energy_dissipation', 'total_power']	['multi_core_cluster', 'floor_data_centers', 'raised_floor_data', 'total_power_consumption', 'data_centers_operate']
amdahl throughput blade constant intensive keeping state consumption architecture called combine comprising consequence disk double forcing hit i law magnitude 	1	Low-power Amdahl-balanced blades for data intensive computing	Enterprise and scientific data sets double every year, forcing similar growths in storage size and power consumption. As a consequence, current system architectures used to build data warehouses are about to hit a power consumption wall. In this paper we propose an alternative architecture comprising large number of so-called Amdahl blades that combine energy-efficient CPUs with solid state disks to increase sequential read I/O throughput by an order of magnitude while keeping power consumption constant. We also show that while keeping the total cost of ownership constant, Amdahl blades offer five times the throughput of a state-of-theart computing cluster for data-intensive applications. Finally, using the scaling laws originally postulated by Amdahl, we show that systems for data-intensive computing must maintain a balance between low power consumption and per-server throughput to optimize performance per Watt.	['center', 'processor', 'data']	['multi_core', 'cooling_power', 'core_cluster', 'energy_dissipation', 'total_power']	['multi_core_cluster', 'floor_data_centers', 'raised_floor_data', 'total_power_consumption', 'data_centers_operate']
security virtualization improve aggregation basic con explains flexibility greater integrated keywords— pro refers taxonomy threat unified vmm autonomous more purpose 	1	Virtualization: A survey on concepts, taxonomy and associated security issues	Virtualization is a term that refers to the abstraction of computer resources. The purpose of virtual computing environment is to improve resource utilization by providing a unified integrated operating platform for users and applications based on aggregation of heterogeneous and autonomous resources. More recently, virtualization at all levels (system, storage, and network) became important again as a way to improve system security, reliability and availability, reduce costs, and provide greater flexibility. This paper explains the basics of system virtualization and addresses pros and cons of virtualization along with taxonomy and challenges. Keywords— Virtualization; hypervisor; VMM; Security; Threats.	['center', 'processor', 'data']	['multi_core', 'cooling_power', 'core_cluster', 'energy_dissipation', 'total_power']	['multi_core_cluster', 'floor_data_centers', 'raised_floor_data', 'total_power_consumption', 'data_centers_operate']
cooling container floor raised center optimization data compared 41 42 80 block comparative employing estimate facility far introduced modular multitude 	1	A quantitative analysis of cooling power in container-based data centers	Cooling power is often represented as a single taxed cost on the total energy consumption of the data center. Some estimates go as far as 50% of the total energy demand. However, this view is rather simplistic in the presence of a multitude of cooling options and optimizations. In response to the rising cost of energy, the industry introduced modular design in the form of containers to serve as the new building block for data centers. However, it is still unclear how efficient they are compared to raised-floor data centers and under what conditions they are preferred. In this paper, we provide comparative and quantitative analysis of cooling power in both container-based and raised-floor data centers. Our results show that a container achieves 80% and 42% savings in cooling and facility powers respectively compared to a raised-floor data center and that savings of 41% in cooling power are possible when workloads are consolidated onto the least number of containers. We also show that cooling optimizations are not very effective at high utilizations; and that a raised-floor data center can approach the efficiency of a container at low utilizations when employing a simple cooling optimization.	['center', 'processor', 'data']	['multi_core', 'cooling_power', 'core_cluster', 'energy_dissipation', 'total_power']	['multi_core_cluster', 'floor_data_centers', 'raised_floor_data', 'total_power_consumption', 'data_centers_operate']
